"All Store Views","All Store Views"
Root,Root
Delete,Delete
"Are you sure?","Are you sure?"
"Change status","Change status"
Status,Status
"Update attributes","Update attributes"
Website,Website
"Advanced Permissions","Advanced Permissions"
"Advanced Permissions Tab","Advanced Permissions Tab"
"Display All Products","Display All Products"
"If set to ""No"","If set to ""No""
"Show All Customers","Show All Customers"
"If set to ""No"" user with restricted permissions can view customers from the website of the allowed store only.","If set to ""No"" user with restricted permissions can view customers from the website of the allowed store only."
"Allow Deletion (Store-view restriction)","Allow Deletion (Store-view restriction)"
"If set to ""Yes"" user with restricted permissions per Store-view can delete products,"If set to ""Yes"" user with restricted permissions per Store-view can delete products
"Allow Deletion (Website restriction)","Allow Deletion (Website restriction)"
"If set to ""Yes"" user with restricted permissions per Website can delete products,"If set to ""Yes"" user with restricted permissions per Website can delete products
"Sorry,"Sorry
"Please,"Please
"Sorry,"Sorry
"Review could not be deleted due to insufficent permissions.","Review could not be deleted due to insufficent permissions."
"Some review(s) could not be deleted due to insufficent permissions.","Some review(s) could not be deleted due to insufficent permissions."
Disabled,Disabled
"Limit Access to Store Views/Categories","Limit Access to Store Views/Categories"
"Limit Access to Websites","Limit Access to Websites"
"No store-views or websites are chosen for the Role. If you proceed the advanced permissions settings will be disabled for the Role. Are you sure?","No store-views or websites are chosen for the Role. If you proceed the advanced permissions settings will be disabled for the Role. Are you sure?"
"Please,"Please
"Store View","Store View"
"Collapse All","Collapse All"
"Expand All","Expand All"
"ctrl+click to select multiple websites","ctrl+click to select multiple websites"
"Allow update global attributes","Allow update global attributes"
